slug	name	category	url	type	source
3m	3M	strong:type	https://developer.3m.com/s/	Portal	common
3m	3M	weak:url-path	https://www.3m.com/3M/en_US/company-us/partners-suppliers/api/api-details/	Documentation	common
3m	3M	weak:url-path	https://www.3m.com/3M/en_US/company-us/partners-suppliers/api/	GettingStarted	common
abbott-laboratories	Abbott Laboratories	strong:type	https://www.abbott.com/en-us/partners.html	Portal	common
abercrombie-and-fitch	Abercrombie and Fitch	strong:type	https://corporate.abercrombie.com/	Portal	common
abm-industries	ABM Industries	strong:type	https://connect.abm.com/	Portal	common
acadia-healthcare	Acadia Healthcare	medium:url-host	https://developer.acadiahealthcare.com/docs	Documentation	api
acuity-brands	acuity-brands	strong:type	https://api-docs.acuitybrands.com/	Portal	common
acuity-brands	acuity-brands	medium:url-host	https://api-docs.acuitybrands.com/docs/intro/	Documentation	common
acuity-brands	acuity-brands	medium:url-host	https://api.acuitybrands.com/v1	BaseURL	api
adams-resources-and-energy	Adams Resources & Energy	strong:type	https://www.adamsresources.com	Portal	common
adobe	Adobe	strong:type	https://developer.adobe.com/	Portal	common
adobe	Adobe	medium:url-host	https://developer.adobe.com/console/	Console	common
adobe	Adobe	medium:url-host	https://developer.adobe.com/developer-console/docs/guides/authentication/	Authentication	common
adobe	Adobe	medium:url-host	https://developer.adobe.com/developer-support/	Support	common
adobe	Adobe	medium:url-host	https://blog.developer.adobe.com/	Blog	common
adobe	Adobe	medium:url-host	https://developer.adobe.com/developer-console/docs/guides/getting-started	GettingStarted	common
adobe	Adobe	medium:url-host	https://developer.adobe.com/apis	SDK	common
adobe	Adobe	medium:url-host	https://developer.adobe.com/document-services/docs/overview/pdf-services-api/	Documentation	api
adobe	Adobe	medium:url-host	https://developer.adobe.com/document-services/docs/overview/pdf-services-api/gettingstarted/	GettingStarted	api
adobe	Adobe	medium:url-host	https://developer.adobe.com/document-services/docs/overview/releasenotes/	ChangeLog	api
adobe	Adobe	medium:url-host	https://developer.adobe.com/document-services/docs/overview/pdf-extract-api/	Documentation	api
adobe	Adobe	medium:url-host	https://developer.adobe.com/document-services/docs/overview/pdf-extract-api/gettingstarted/	GettingStarted	api
adobe	Adobe	medium:url-host	https://developer.adobe.com/acrobat-sign/docs/overview/sdks/rest	SDK	api
adobe	Adobe	medium:url-host	https://developer.adobe.com/analytics-apis/docs/2.0/	Documentation	api
adobe	Adobe	medium:url-host	https://developer.adobe.com/analytics-apis/docs/2.0/guides/authentication/	Authentication	api
adobe	Adobe	medium:url-host	https://developer.adobe.com/analytics-apis/docs/2.0/guides/	GettingStarted	api
adobe	Adobe	medium:url-host	https://developer.adobe.com/firefly-services/docs/firefly-api/	Documentation	api
adobe	Adobe	medium:url-host	https://developer.adobe.com/firefly-services/docs/firefly-api/api/	APIReference	api
adobe	Adobe	medium:url-host	https://developer.adobe.com/firefly-services/docs/firefly-api/guides/	GettingStarted	api
adobe	Adobe	medium:url-host	https://developer.adobe.com/firefly-services/docs/guides/sdks/	SDK	api
adobe	Adobe	medium:url-host	https://developer.adobe.com/firefly-services/docs/firefly-api/guides/changelog/	ChangeLog	api
adobe	Adobe	medium:url-host	https://developer.adobe.com/experience-platform-apis/references/	APIReference	api
adobe	Adobe	medium:url-host	https://developer.adobe.com/stock/docs/getting-started/	Documentation	api
